MethodKey,Method,ProtocolKey,Protocol,Macro_F1,Macro_F1_SD,Weighted_F1,Weighted_F1_SD,Accuracy,Accuracy_SD,Eval_N,True_Classes,Pred_Classes,Split_Count
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),event_random,Event-group random 70/30 + 59 s purge,0.20710236473400948,0.05385781448338319,0.5020957341059422,0.014880258211071985,0.4822921247436465,0.02219806061055593,14109.6,21.0,21.0,5
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),lodo,Leave-one-day-out (Apr11-Apr13),0.27347713406895163,0.0,0.5622702811396557,0.0,0.5763132496897836,0.0,36265.0,23.0,23.0,3
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),forward,Strict expanding-forward,0.2816754769825641,0.0,0.5511423373611964,0.0,0.562553426168482,0.0,36265.0,23.0,23.0,3
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,0.844881650726635,0.010701706616185774,0.892652394548594,0.0006671368926666092,0.8899766569993635,0.0008197487221231258,14137.0,23.0,22.0,5
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),block45_random,45 s block-group random 70/30 + 59 s purge,0.27872896557266713,0.019565389959903423,0.6159315458909435,0.013093167950250896,0.6336996336996338,0.010435255502813774,12285.0,19.0,22.0,5
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),event_random,Event-group random 70/30 + 59 s purge,0.22644923095906977,0.04481397246111392,0.5625122238456133,0.05551333938823075,0.5713251212039481,0.05734906411576718,14109.6,21.0,21.8,5
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),0.26911149463336675,0.0,0.572061292987905,0.0,0.5829587756790293,0.0,36265.0,23.0,23.0,3
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),forward,Strict expanding-forward,0.25746757890664246,0.0,0.5466044108000079,0.0,0.5415138563353096,0.0,36265.0,23.0,23.0,3
rf_basic10_symmetric_smote,Random Forest (10 s RSSI summary + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,0.639049760231124,0.011496646476855896,0.7233309500182985,0.007680255893783002,0.7214967814953668,0.006479119017936066,14137.0,23.0,22.4,5
rf_basic10_symmetric_smote,Random Forest (10 s RSSI summary + symmetric relabeling + SMOTE),block45_random,45 s block-group random 70/30 + 59 s purge,0.3038254908343804,0.02112700728637747,0.5311611148164583,0.05436704044246098,0.5130809930809931,0.09263828880408209,12285.0,19.0,21.8,5
