MethodKey,Method,ProtocolKey,Protocol,Class,Precision,Precision_SD,Recall,Recall_SD,F1,F1_SD,Support_Mean,Predicted_Support_Mean
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),506,0.4375,0.0,0.4104938271604938,0.0,0.42356687898089174,0.0,324.0,304.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),508,0.0,0.0,0.0,0.0,0.0,0.0,98.0,39.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),510,0.12280701754385964,0.0,0.22012578616352202,0.0,0.15765765765765766,0.0,159.0,285.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),511,0.4423076923076923,0.0,0.2926208651399491,0.0,0.35222052067381315,0.0,393.0,260.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),512,0.6175298804780877,0.0,0.5098684210526315,0.0,0.5585585585585585,0.0,912.0,753.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),513,0.4982638888888889,0.0,0.2489158716392021,0.0,0.3319838056680162,0.0,1153.0,576.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),515,0.2275449101796407,0.0,0.06354515050167224,0.0,0.09934640522875816,0.0,598.0,167.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),516,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),517,0.1511627906976744,0.0,0.30708661417322836,0.0,0.2025974025974026,0.0,127.0,258.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),518,0.015151515151515152,0.0,0.007575757575757576,0.0,0.010101010101010102,0.0,132.0,66.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),520,0.7881481481481482,0.0,0.5210577864838394,0.0,0.6273584905660378,0.0,1021.0,675.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),521,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),522,0.091324200913242,0.0,0.12048192771084337,0.0,0.1038961038961039,0.0,830.0,1095.0
